Ticker,TotalScore,Date,Rank
AAPL,46.83601098702695,2026-01-08,224.0
ABBV,34.26817898762556,2026-01-08,307.0
ABNB,55.83714037509768,2026-01-08,92.0
ACN,53.10041688741957,2026-01-08,129.0
ADBE,59.36120406146217,2026-01-08,64.0
ADM,39.27195534507519,2026-01-08,291.0
ADP,49.27262508117515,2026-01-08,184.0
ADSK,45.69198975501162,2026-01-08,237.0
AJG,51.737987431535885,2026-01-08,148.0
AKAM,47.95094833217208,2026-01-08,203.0
ALGN,44.74997073681745,2026-01-08,252.0
ALLE,63.296493485470705,2026-01-08,30.0
AMAT,54.937672049010864,2026-01-08,105.0
AMD,47.91970430343811,2026-01-08,204.0
AME,54.13321820205068,2026-01-08,115.0
AMGN,58.068335509860255,2026-01-08,74.0
AMZN,50.407334005379354,2026-01-08,164.0
ANET,58.99556117497259,2026-01-08,68.0
AON,49.75950798735074,2026-01-08,178.0
AOS,55.68347629476146,2026-01-08,94.0
APA,62.48853334675084,2026-01-08,34.0
APH,54.198324353928996,2026-01-08,113.0
APO,57.8087584102889,2026-01-08,77.0
APP,57.342966219019715,2026-01-08,82.0
APTV,51.02850112451703,2026-01-08,154.0
AVB,54.05881827042585,2026-01-08,117.0
AVGO,63.470714940662525,2026-01-08,26.0
AVY,47.20544966179788,2026-01-08,218.0
AXON,46.33397537566703,2026-01-08,234.0
AZO,48.30626092374486,2026-01-08,200.0
A,47.32904455749005,2026-01-08,216.0
BDX,52.48543993291611,2026-01-08,135.0
BF.B,45.41105505987071,2026-01-08,241.0
BKNG,64.67543056024292,2026-01-08,22.0
BKR,57.39082358914976,2026-01-08,81.0
BLK,38.71762662007227,2026-01-08,297.0
BRO,59.308419692809636,2026-01-08,65.0
BR,49.188760379227276,2026-01-08,186.0
BSX,52.228633617210136,2026-01-08,141.0
CAG,39.26947447450003,2026-01-08,292.0
CAH,46.940646891605816,2026-01-08,222.0
CARR,46.394254262594856,2026-01-08,233.0
CAT,53.57476459020967,2026-01-08,125.0
CBOE,50.00267943872798,2026-01-08,173.0
CBRE,61.120382100942386,2026-01-08,47.0
CCI,37.219657298734035,2026-01-08,303.0
CCL,59.609259274177305,2026-01-08,59.0
CDNS,51.12355515591743,2026-01-08,153.0
CDW,38.61068243212057,2026-01-08,299.0
CHD,51.73667603727892,2026-01-08,149.0
CL,60.25162859279445,2026-01-08,51.0
CMCSA,52.31038041036837,2026-01-08,139.0
CME,46.629847169128325,2026-01-08,226.0
CMG,55.100913353036816,2026-01-08,102.0
CMI,65.84928254729569,2026-01-08,16.0
COO,46.83473534910516,2026-01-08,225.0
COP,50.2378511104861,2026-01-08,166.0
COR,49.14872682358197,2026-01-08,187.0
COST,57.61167853636274,2026-01-08,79.0
CPAY,62.14349353531758,2026-01-08,37.0
CPB,53.44242862550663,2026-01-08,126.0
CPRT,59.81057523241006,2026-01-08,57.0
CPT,44.62083072619225,2026-01-08,253.0
CRH,52.42332314032269,2026-01-08,136.0
CRL,40.34103590950274,2026-01-08,288.0
CRM,52.558590994101124,2026-01-08,134.0
CRWD,42.821277701693276,2026-01-08,268.0
CSCO,47.72905222275614,2026-01-08,211.0
CSX,43.643559345043286,2026-01-08,261.0
CTAS,55.145486109731635,2026-01-08,101.0
CTRA,64.46619048047062,2026-01-08,23.0
CTSH,53.906386316999615,2026-01-08,121.0
CTVA,49.940625400441185,2026-01-08,176.0
CVNA,27.774342596356036,2026-01-08,312.0
CVX,47.76295416763412,2026-01-08,209.0
DAL,61.13781038813046,2026-01-08,46.0
DASH,45.58418866504137,2026-01-08,238.0
DAY,44.87317044397018,2026-01-08,248.0
DECK,69.88315813389003,2026-01-08,9.0
DHI,43.011416612250656,2026-01-08,267.0
DIS,47.980049644634214,2026-01-08,202.0
DOC,41.75245902319547,2026-01-08,279.0
DPZ,46.40796525759151,2026-01-08,232.0
DRI,51.883495483104085,2026-01-08,144.0
DUK,54.58760408742461,2026-01-08,109.0
DVA,42.703302571731754,2026-01-08,271.0
DXCM,54.83967226038543,2026-01-08,107.0
EA,49.20101082138845,2026-01-08,185.0
ECL,54.06824752669894,2026-01-08,116.0
EFX,32.42257843978055,2026-01-08,309.0
EME,63.24392092666194,2026-01-08,32.0
EMR,51.81246012467041,2026-01-08,145.0
EOG,59.58704968962175,2026-01-08,60.0
EPAM,54.255534154712706,2026-01-08,112.0
EQIX,42.118542580784556,2026-01-08,277.0
EQR,47.78025413152788,2026-01-08,208.0
ERIE,63.335185622906195,2026-01-08,28.0
ESS,49.54732770625709,2026-01-08,181.0
ETN,50.10268000865748,2026-01-08,172.0
EW,42.38083587690756,2026-01-08,273.0
EXPE,59.425372651300975,2026-01-08,62.0
EXR,57.94505061985297,2026-01-08,76.0
FAST,55.635244809213916,2026-01-08,95.0
FCX,45.89146944097585,2026-01-08,236.0
FDS,57.79873064603393,2026-01-08,78.0
FFIV,56.70324633395751,2026-01-08,88.0
FICO,52.24080000521151,2026-01-08,140.0
FIS,39.21136302539263,2026-01-08,294.0
FIX,63.39042336293301,2026-01-08,27.0
FOXA,61.907892475458524,2026-01-08,38.0
FOX,63.31623155922679,2026-01-08,29.0
FRT,49.11058600562685,2026-01-08,188.0
FTNT,59.90156433562954,2026-01-08,55.0
FTV,42.354026588466894,2026-01-08,274.0
GDDY,47.887841383196566,2026-01-08,206.0
GD,54.609333037148694,2026-01-08,108.0
GEHC,51.004957408377315,2026-01-08,155.0
GEN,47.56345711718841,2026-01-08,215.0
GEV,28.147716125086703,2026-01-08,311.0
GIS,47.740949934830695,2026-01-08,210.0
